geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,2,1,2,1,1,1,1,2,1,1,1,2,1,1,3,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,3,2,3,1,3,2,2,2,2
Alaska,2,0,0,0,4,2,0,0,2,0,0,3,3,2,2,0,3,0,2,2,0,5,3,4,10,2,2,2,0,6,3,2,2,2,2,0,0,3,2,0,2,2,2,4,0,2,2,0,3,3,3,0
Arizona,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,0,1,1,1,2,1,1,1,2,1,0,1,1,0,1,2,2,1,0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,0
California,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
Colorado,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Connecticut,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,3,1,3,1,2,2,3,2,2,2,2,2,3,2,1,2,2
Delaware,4,1,3,1,2,4,1,2,2,3,1,2,2,1,2,2,2,1,1,5,1,2,2,3,1,1,3,1,2,2,3,1,2,2,1,2,2,2,1,3,3,2,3,2,3,2,3,2,3,3,4,3
District of Columbia,2,3,2,2,2,2,4,3,2,0,3,2,2,2,3,4,2,2,1,2,2,3,3,2,1,3,2,2,3,3,3,2,3,1,3,2,2,4,3,3,4,3,4,2,4,3,1,2,2,2,4,2
Florida,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2
Georgia,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,3,4,3,5,5,5,5,5,4,4,4,5,4,4,5,5,4,4,4,5,4,4,5,5,4,5,6,5,6,5,5,5,5,5,5,6
Hawaii,2,1,1,0,1,1,0,1,1,1,0,1,0,1,2,1,0,1,1,2,1,1,2,0,1,2,2,1,1,1,1,3,1,1,1,1,3,1,2,1,1,1,2,1,3,1,1,2,0,1,1,3
Idaho,1,0,0,1,0,0,1,1,2,1,1,1,1,2,1,0,2,1,2,1,1,1,2,0,2,1,1,1,1,1,1,1,1,0,2,2,1,1,0,0,1,0,1,3,2,1,1,2,1,0,2,0
Illinois,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
Indiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2
Iowa,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,2,1,2,3,1,1,1,1,1,1,0,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,4
Kansas,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
